Name,CAS #,Formula,Acronym,Type,CAS.Number
Perfluorobutanoic acid,375224,C4HF7O2,PFBA,Native,375224
Perfluoropentanoic acid,2706-90-3,C5HF9O2,PFPeA,Native,2706903
Perfluoro-1-butanesulfonic acid,375-73-5,C4HF9SO3,PFBS,Native,375735
Perfluoro-1-hexanoic acid,307-24-4,C6HF11O2,PFHxA,Native,307244
"2,3,3,3-tetrafluoro-2-(1,1,2,2,3,3,3-heptafluoropropoxy) propanoic acid",13252-13-6,C6HF11O3,HFPO-DA,Native,13252136
Perfluoro-n-heptanoic acid,375-85-9,C7HF13O2,PFHpA,Native,375859
Perfluoro-1-hexanesulfonic acid,355-46-4,C6HF13SO3,PFHxS,Native,355464
"Dodecafluoro-3H-4,8-dioxanonanoate",919005-14-4,C7H2F12O4,DONA,Native,919005144
"1H,1H,2H,2H-perfluorooctane sulfonic acid",27619-97-2,C8H5F13O3S,6-2 FTSA,Native,27619972
Perfluoro-n-octanoic acid,335-67-1,C8HF15O2,PFOA,Native,335671
Perfluoro-1-heptanesulfonic acid,375-92-8,C7HF15SO3,PFHpS,Native,375928
Perfluoro-n-nonanoic acid,335-67-1,C8HF17O2,PFNA,Native,335671
Perfluoro-1-octanesulfonic acid,1763-23-1,C8F17SO3,PFOS,Native,1763231
2H-perfluoro-2-decenoic acid,161094-76-4,C10H2F16O2,8-2 FTUCA,Native,161094764
9-chlorohexadecafluoro-3-oxanonane-1-sulfonate,756426-58-1,C8HClF16O4S,9Cl-PF3ONS,Native,756426581
"1H, 1H,2H,2H-perfluorodecane sulfonic acid",39108-34-4,C10H5F17O3S,8-2 FTSA,Native,39108344
Perfluoro-n-decanoic acid,335-76-2,C10HF19O2,PFDA,Native,335762
N-methylperfluoro-1-octanesulfonamidoacetic acid,2355-31-9,C11H6F17NO4S,N-MeFOSAA,Native,2355319
Perfluoro-1-decanesulfonic acid,335-77-3,C10HF21SO3,PFDS,Native,335773
Perfluoro-n-undecanoic acid,2058-94-8,C11HF21O2,PFUnDA,Native,2058948
N-ethylperfluoro-1-octanesulfonamidoacetic acid,2991-50-6,C12H8F17NO4S,N-EtFOSAA,Native,2991506
Perfluoro-1-octanesulfonamide,754-91-6,C8H2F17NO2S,PFOSA,Native,754916
Perfluoro-n-dodecanoic acid,307-55-1,C12HF23O2,PFDoDA,Native,307551
Perfluoro-n-tridecanoic acid,72629-94-8,C13HF25O2,PFTrDA,Native,72629948
N-methylperfluoro-1-octanesulfonamide,31506-32-8,C9H4F17NO2S,N-MeFOSA,Native,31506328
"1H,1H,2H,2H-perfluorooctyl phosphate",57678-01-0,C8H6F13O4P,6-2 PAP,Native,57678010
"bis(1H,1H,2H,2H-perfluorooctyl) phosphate",57677-95-9,C16H9F26O4P,6-2 diPAP,Native,57677959
Perfluoro-n-tetradecanoic acid,0376-06-07,C14HF27O2,PFTDA,Native,03760607
N-ethylperfluoro-1-octanesulfonamide,4151-50-2,C10H6F17NO2S,N-EtFOSA,Native,4151502
Perfluoro-n-hexadecanoic acid,67905-19-5,C16HF31O2,PFHxDA,Native,67905195
"bis(1H,1H,2H,2H-perfluorodecyl) phosphate",678-41-1,C20H9F34O4P,8-2 diPAP,Native,678411
Perfluoro-n-octadecanoic acid,16517-11-6,C18HF35O2,PFODA,Native,16517116
"Perfluoro-n-[1,2,3,4-13C4]butanoic acid",1017281-29-6,13C4HF7O2,13C4-PFBA,ISTD,1017281296
"Perfluoro-n-[1,2,3,4,5-13C5]pentanoic acid",2283397-79-3,13C5HF9O2,13C5-PFPeA,ISTD,2283397793
"Perfluoro-1-[2,3,4-13C3]butanesulfonate",2708218-84-0,13C2+12CF9SO3,13C3-PFBS,ISTD,2708218840
"Perfluoro-n-[1,2,3,4,6-13C5]hexanoic acid",2328024-54-8,13C5+12CHF11O,13C5-PFHxA,ISTD,2328024548
"2,3,3,3-tetrafluoro-2-(1,1,2,2,3,3,3-heptafluoropropoxy) [13C3]propanoic acid ",, 13C3+12C3F11O3, 13C3-HFPO-DA,ISTD,
"Perfluoro-n-[1,2,3,4-13C4]heptanoic acid",2328024-55-9,13C4+12C3HF13O2,13C4-PFHpA,ISTD,2328024559
"Perfluoro-1-[1,2,3-13C3]hexanesulfonate",2708218-86-2,13C3+12C3F13SO3,13C3-PFHxS,ISTD,2708218862
"1H,1H,2H,2H-perfluoro[1,2-13C2]octanesulfonate",,13C2+12C6H5F13O3S,13C2-6:2FTSA,ISTD,
Perfluoro-n-[13C8]octanoic acid,1350614-84-4,13C8F15O2,13C8-PFOA,ISTD,1350614844
Perfluoro-n-[13C9]nonanoic acid,2283397-80-6,13C9HF17O2,13C9-PFNA,ISTD,2283397806
Perfluoro-[13C8]octanesulfonate,2522762-16-7,13C8F17SO3,13C8-PFOS,ISTD,2522762167
"2H-perfluoro-[1,2-13C2]-2-decenoic acid",,13C2-12C8H2F16O2,13C2-FTUCA,ISTD,
"1H,1H,2H,2H-perfluoro[1,2-13C2]decanesulfonate",,13C2-12C8H5F17O3S,13C2-8:2FTSA,ISTD,
"Perfluoro-n-[1,2,3,4,5,6-13C6]decanoic acid",2328024-56-0,13C6+12C4HF19O2,13C6-PFDA,ISTD,2328024560
N-methyl-d3-perfluoro-1-octanesulfonamidoacetic acid,,2H3+1H3C11F17NO4S,d3-N-MeFOSAA,ISTD,
"Perfluoro-n-[1,2,3,4,5,6,7-13C7]undecanoic acid",,13C7+12C4HF21O2,13C7-PFUnDA,ISTD,
N-ethyl-d5-perfluoro-1-octanesulfonamidoacetic acid,1265205-97-7,2H5+1H3C12F17NO4S,d5-N-EtFOSAA,ISTD,1265205977
Perfluoro-1-[13C8]octanesulfonamide,,13C8H2F17NO2S,13C8-PFOSA,ISTD,
"Perfluoro-n-[1,2-13C2]dodecanoic acid",960315-52-0,13C2+12C10HF23O2,13C2-PFDoDA,ISTD,960315520
N-methyl-[d3]-perfluoro-1-octanesulfonamide,,2H3+1H1C9F17NO2S,d3-N-MeFOSA,ISTD,
"bis[1H,1H,2H,2H-(1,2-13C2)perfluorooctyl] phosphate",,(13C2)2+12C12H9F26O4P,"(13C2)2-
 6:2diPAP",ISTD,
Perfluoro-n-[1.2-13C2]tetradecanoic acid,,13C2+12C12HF27O2,13C2-PFTDA,ISTD,
N-ethyl-d5-perfluoro-1-octanesulfonamide,,2H5+1H1C10F17NO2S,d5-N-EtFOSA,ISTD,
"Perfluoro-n-[1,2-13C2]hexadecanoic acid",,13C2+12C14HF31O2,13C2-PFHxDA,ISTD,
"bis[1H,1H,2H,2H-(1,2-13C2)perfluorodecyl] phosphate",, 13C4+12C16H9F34O4P, 13C4-8:2diPAP,ISTD,
2-Perfluorobutyl ethanol,2043-47-2,C6H5F9O,4:2 FTOH,Native,2043472
"1H,1H,2H,2H-perfluorooctyl acrylate",17527-29-6,C11H7F13O2,6:2 FTAcr,Native,17527296
2-Perfluorohexyl ethanol,647-42-7,C8H5F13O,6:2 FTOH,Native,647427
"1H,1H,2H,2H-perfluorooctyl methacrylate",2144-53-8,C12H9F13O2,6:2 FTMAcr,Native,2144538
"1H,1H,2H,2H-Perfluorodecyl acrylate",27905-45-9,C13H7F17O2,8:2 FTAcr,Native,27905459
2-Perfluorooctyl ethanol,678-39-7,C10H5F17O,8:2 FTOH,Native,678397
"1H,1H,2H,2H-heptadecafluorodecyl methacrylate",1996-88-9,C14H9F17O2,8:2 FTMAcr,Native,1996889
"1H,1H,2H,2H-Perfluorododecyl acrylate",17741-60-5,C15H7F21O2,10:2 FTAcr,Native,17741605
2-Perfluorodecyl ethanol,865-86-1,C12H5F21O,10:2 FTOH,Native,865861
2-(N-methylperfluoro-1-octanesulfonamido)ethanol,24448-09-07,C11H8F17NO3S,MeFOSE,Native,244480907
2-(N-ethylperfluoro-1-octanesulfonamido)ethanol,1691-99-2,C12H10F17NO3,EtFOSE,Native,1691992
"1H,1H,2H,2H-Perfluoro[13C,2H4]-1-octanol",,C7HF13O + 13C + D4,M-6:2 FTOH,Extracted ISTD,
2-(N-methyl-d3-perfluoro-1octanesulfonamido)ethan-d4-ol,,C11H1F17NO3S + D7,d-MeFOSE,Extracted ISTD,
